order_id,customer_id,date_of_purchase,nearest_warehouse,cart,order_price,delivery_charges,customer_latitude,customer_longitude,discount,order_total,season,is_premium_delivery,nearest_distance,customer_feedback,satisfied_customer
ORD336959,ID0266740434,2019-12-22,Docklands,"[('Thunder line', 2), ('Toshika 750', 1)]",8680,82.52,-37.82443129999999,144.9891293,5,8328.52,Summer,False,1.6941,works great.,True
ORD369227,ID0591233716,2019-04-28,Richmond,"[('pearTV', 2), ('iStream', 1), ('Olivia x460', 2)]",15220,70.03,-37.82437279999999,144.95251059999995,10,13768.03,Autumn,False,1.3875,"effective not a particularly effective frisbee, works better as a personal communication device.",True
ORD092881,ID0591427992,2019-10-29,Clayton,"[('pearTV', 1), ('Candle Inferno', 2)]",7170,73.8,-37.8188751,144.9625503,5,6885.3,Spring,False,0.6164,"inexpensive, durable and simple to use. the lucent g4 play is an inexpensive smart phone that does everything i need. i've used lucentrola phones for years; they have been durable and easy to use.",True
ORD020284,ID0746912533,2019-11-28,Clayton,"[('Alcon 10', 1), ('Lucent 330S', 1), ('pearTV', 1)]",16490,91.73,-37.8258144,144.9829053,25,12459.23,Spring,True,1.4229,zero battery life battery dies in less than one hour after a full charge.,False
ORD225178,ID2935371920,2019-01-28,Docklands,"[('iStream', 2), ('Olivia x460', 1), ('Toshika 750', 1)]",5845,102.36,-37.8251086,144.9918508,25,4486.11,Summer,True,1.7084,great service very understanding seller. ran into some issues but was resolved to my satisfaction,True
ORD169470,ID0595594352,2019-07-14,Clayton,"[('Alcon 10', 2), ('Lucent 330S', 2)]",20360,78.65,-37.810906,144.9671561,10,18402.65,Winter,True,0.8814,five stars good choice,True
ORD485199,ID0579490859,2019-12-30,Richmond,"[('Alcon 10', 2), ('Olivia x460', 1), ('iStream', 2), ('Lucent 330S', 2)]",21885,71.44,-37.8159075,144.95093880000005,15,18673.69,Summer,False,0.4954,i purchased this tablet for my autistic child. he loves it!!,True
ORD138040,ID1496246597,2019-10-08,Clayton,"[('Toshika 750', 2), ('Lucent 330S', 1)]",9870,80.76,-37.8266136,144.98172390000005,5,9457.26,Spring,False,1.3937,better for the money nice phone. great quality screen,True
ORD224588,ID0420022676,2019-11-24,Docklands,"[('Candle Inferno', 2), ('Universe Note', 2)]",7760,82.9,-37.8105086,144.99600900000004,25,5902.9,Spring,True,0.089,"not so good - after 6 months will no longer transfer photos when plugged into laptop, faulty charging connection. disappointing, avoid.",False
ORD386518,ID4326586219,2019-02-05,Clayton,"[('iStream', 1), ('Universe Note', 1)]",3600,92.28,-37.8161974,144.9639882,25,2792.28,Summer,True,0.5572,i bought and love them. iassist is very convenient.,True
ORD450862,ID0579994721,2019-12-22,Richmond,"[('Universe Note', 1), ('Olivia x460', 1)]",4675,79.22,-37.8033171,144.9368699,0,4754.22,Summer,False,1.3745,five stars works very well in argentina.,True
ORD049053,ID2173278061,2019-04-20,Richmond,"[('Olivia x460', 1), ('Lucent 330S', 1), ('Toshika 750', 2)]",11095,81.02,-37.8171564,144.9526512,0,11176.02,Autumn,True,0.7,"bought this 8"" model to use in addition to my current 3 year old candle inferno hd (7 inch model). so far i am very pleased with the quality of this unit. the slightly larger screen makes watching movies much better. i didn't want the larger 10"" screen (yet).",True
